"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"347" "KAT6A" "0.001" "0.009" "0.004" "0" "0.018" "0" "0" "0.029" "0" "0" "0" "0.002" "0" "0"
"348" "CACNA1S" "0.011" "0.012" "0.02" "0.022" "0.045" "0.015" "0.01" "0.029" "0.022" "0.017" "0.025" "0.006" "0.022" "0.002"
"349" "GRM5" "0.004" "0.004" "0.004" "0.025" "0.051" "0.005" "0.003" "0.035" "0.006" "0.013" "0.042" "0.002" "0.034" "0"
"350" "GOLGB1" "0.004" "0.016" "0.006" "0.022" "0.061" "0.005" "0.012" "0.042" "0.006" "0.017" "0.017" "0.002" "0.034" "0.004"
"351" "LOXHD1" "0" "0.015" "0.009" "0" "0.021" "0" "0" "0.033" "0.013" "0" "0" "0" "0" "0"
"352" "PLXNC1" "0.001" "0.007" "0.003" "0.014" "0.046" "0.002" "0.003" "0.036" "0.004" "0.011" "0.015" "0" "0.02" "0.004"
"353" "ZC3H13" "0.004" "0.009" "0.006" "0.035" "0.072" "0.005" "0.003" "0.038" "0.006" "0.009" "0.015" "0.002" "0.01" "0.006"
"354" "NRXN3" "0.004" "0.014" "0.003" "0.033" "0.08" "0.007" "0.005" "0.035" "0.004" "0.03" "0.029" "0" "0.026" "0.002"
"355" "SLITRK2" "0.005" "0.01" "0.004" "0.024" "0.051" "0.008" "0.007" "0.038" "0.002" "0.015" "0.059" "0" "0.02" "0"
"356" "ANO4" "0.007" "0.014" "0.001" "0.021" "0.033" "0.012" "0.007" "0.024" "0.002" "0.023" "0.015" "0.002" "0.026" "0.002"
"357" "PLXNA2" "0.004" "0.013" "0.01" "0.013" "0.075" "0.005" "0.005" "0.036" "0.004" "0.015" "0.017" "0.002" "0.014" "0.002"
"358" "KIAA1210" "0.006" "0.021" "0.005" "0.011" "0.038" "0.01" "0.008" "0.029" "0.006" "0.017" "0.025" "0.002" "0.028" "0"
"359" "HEPH" "0.004" "0.012" "0.004" "0.006" "0.038" "0.002" "0.008" "0.036" "0.004" "0.017" "0.029" "0.006" "0.034" "0"
"360" "FANCM" "0.006" "0.008" "0.006" "0.022" "0.051" "0.007" "0.003" "0.036" "0.004" "0.008" "0.023" "0.006" "0.02" "0.002"
"361" "MYH6" "0.007" "0.011" "0.006" "0.016" "0.07" "0.008" "0.003" "0.038" "0.006" "0.019" "0.036" "0.006" "0.036" "0.006"
"362" "COL6A6" "0.005" "0.015" "0.019" "0.03" "0.062" "0.008" "0.014" "0.036" "0.026" "0.044" "0.036" "0" "0.048" "0.004"
"363" "NBEAL1" "0.004" "0.014" "0.011" "0.013" "0.029" "0.005" "0.002" "0.024" "0.006" "0.008" "0.008" "0.002" "0.006" "0"
"364" "MED13" "0.005" "0.013" "0.015" "0.011" "0.04" "0.007" "0.003" "0.035" "0.019" "0.019" "0.015" "0.002" "0.01" "0.002"
"365" "CCDC132" "0.004" "0.006" "0.007" "0.006" "0.022" "0.007" "0.005" "0.029" "0.004" "0.015" "0.011" "0" "0.016" "0.004"
"366" "FREM1" "0.005" "0.021" "0.011" "0.021" "0.053" "0.007" "0.007" "0.038" "0.013" "0.011" "0.033" "0.002" "0.034" "0.004"
"367" "SEMA6D" "0.004" "0.005" "0.003" "0.013" "0.057" "0.003" "0" "0.038" "0.006" "0.013" "0.036" "0.004" "0.018" "0"
"368" "LRRIQ1" "0.01" "0.013" "0.007" "0.022" "0.07" "0.013" "0.008" "0.04" "0.009" "0.015" "0.042" "0.006" "0.026" "0"
"369" "SAMD9" "0.004" "0.011" "0.009" "0.021" "0.037" "0.007" "0.007" "0.04" "0.009" "0.009" "0.031" "0" "0.014" "0"
"370" "NCOR1" "0.004" "0.038" "0.016" "0.021" "0.054" "0.003" "0.002" "0.031" "0.015" "0.021" "0.023" "0.004" "0.022" "0.006"
"371" "PHF3" "0.005" "0.01" "0.005" "0.017" "0.043" "0.003" "0.003" "0.029" "0.006" "0.021" "0.011" "0.008" "0.018" "0.002"
"372" "SYNM" "0.004" "0.008" "0.006" "0.011" "0.022" "0.007" "0.01" "0.035" "0.004" "0.006" "0.011" "0" "0.008" "0"
"373" "KRAS" "0.003" "0.005" "0.003" "0.154" "0.049" "0.003" "0.003" "0.099" "0.002" "0.002" "0.144" "0.002" "0.004" "0.008"
"374" "IGSF1" "0.003" "0.014" "0.005" "0.019" "0.041" "0.003" "0.007" "0.029" "0.007" "0.027" "0.027" "0.002" "0.018" "0.004"
"375" "ZMYM3" "0.006" "0.015" "0.003" "0.017" "0.027" "0.007" "0.002" "0.035" "0.004" "0.017" "0.01" "0.006" "0.02" "0"
"376" "LRBA" "0.004" "0.025" "0.014" "0.021" "0.056" "0.005" "0.007" "0.04" "0.007" "0.015" "0.027" "0.002" "0.028" "0"
"377" "EPG5" "0.004" "0.016" "0.004" "0" "0.018" "0" "0" "0.038" "0" "0" "0" "0.008" "0" "0.008"
"378" "DNAH14" "0" "0.019" "0.015" "0.005" "0.033" "0" "0" "0.033" "0.017" "0" "0" "0" "0.002" "0"
"379" "NRG1" "0.004" "0.005" "0.006" "0.022" "0.054" "0.003" "0.007" "0.035" "0.007" "0.002" "0.017" "0.004" "0.014" "0.002"
"380" "XRN2" "0.002" "0.004" "0.004" "0.014" "0.022" "0.002" "0.002" "0.035" "0.006" "0.011" "0.006" "0.002" "0.008" "0.002"
"381" "RP1L1" "0.006" "0.014" "0.019" "0.019" "0.067" "0.008" "0.014" "0.035" "0.02" "0.023" "0.092" "0.004" "0.036" "0"
"382" "TMEM131" "0.004" "0.012" "0.007" "0.011" "0.032" "0.002" "0.008" "0.042" "0.007" "0.011" "0.004" "0.006" "0.022" "0"
"383" "ROBO1" "0.005" "0.014" "0.007" "0.04" "0.065" "0.008" "0.007" "0.042" "0.002" "0.015" "0.025" "0.002" "0.018" "0"
"384" "RTTN" "0.004" "0.009" "0.005" "0.011" "0.045" "0.005" "0.007" "0.031" "0.009" "0.009" "0.027" "0.002" "0.024" "0.006"
"385" "KIF21A" "0.004" "0.008" "0.006" "0.014" "0.04" "0.003" "0.008" "0.033" "0.006" "0.013" "0.023" "0.004" "0.022" "0.002"
"386" "SCN1A" "0.007" "0.015" "0.012" "0.032" "0.064" "0.007" "0.012" "0.042" "0.009" "0.042" "0.036" "0.008" "0.067" "0.004"
"387" "FLG2" "0.014" "0.019" "0.006" "0.024" "0.065" "0.024" "0.019" "0.031" "0.009" "0.021" "0.08" "0.002" "0.042" "0.008"
"388" "SPG11" "0.002" "0.009" "0.007" "0.017" "0.037" "0.003" "0.007" "0.035" "0.006" "0.023" "0.011" "0" "0.022" "0"
"389" "ZNF407" "0.005" "0.013" "0.011" "0.017" "0.04" "0.01" "0.007" "0.038" "0.013" "0.017" "0.013" "0" "0.018" "0.004"
"390" "SCN9A" "0.011" "0.014" "0.006" "0.03" "0.072" "0.02" "0.01" "0.042" "0.007" "0.023" "0.021" "0" "0.02" "0.004"
"391" "VPRBP" "0" "0.009" "0.005" "0.008" "0.029" "0" "0.002" "0.044" "0.002" "0.002" "0.006" "0" "0.012" "0"
"392" "CR1" "0.002" "0.014" "0.012" "0.017" "0.046" "0" "0.005" "0.035" "0.013" "0.021" "0.023" "0.004" "0.022" "0"
"393" "ATG2B" "0.004" "0.009" "0.005" "0.014" "0.04" "0.003" "0.002" "0.031" "0.004" "0.017" "0.017" "0.004" "0.03" "0.002"
"394" "FAM135A" "0" "0.005" "0.007" "0.011" "0.033" "0" "0" "0.04" "0.009" "0.009" "0.011" "0" "0.01" "0"
"395" "TET1" "0.002" "0.013" "0.009" "0.033" "0.049" "0.002" "0.012" "0.044" "0.006" "0.015" "0.023" "0.002" "0.026" "0.002"
"396" "THADA" "0.005" "0.011" "0.007" "0.01" "0.033" "0.008" "0.007" "0.04" "0.009" "0.015" "0.015" "0" "0.024" "0"
"397" "CENPE" "0.005" "0.018" "0.012" "0.017" "0.03" "0.008" "0.007" "0.036" "0.009" "0.017" "0.019" "0" "0.022" "0"
"398" "SLC12A1" "0.001" "0.003" "0.004" "0.011" "0.051" "0.002" "0.002" "0.027" "0.002" "0.011" "0.017" "0" "0.022" "0"
"399" "C20orf26" "0.002" "0.012" "0.005" "0.016" "0.048" "0" "0.005" "0.035" "0.009" "0.015" "0.017" "0.004" "0.044" "0"
"400" "VPS13D" "0.005" "0.021" "0.014" "0.03" "0.081" "0.005" "0.01" "0.042" "0.015" "0.032" "0.029" "0.004" "0.042" "0.006"
"401" "PDGFRA" "0.015" "0.007" "0.006" "0.022" "0.04" "0.02" "0.007" "0.026" "0.009" "0.013" "0.034" "0.01" "0.026" "0"
"402" "BRWD3" "0.005" "0.015" "0.009" "0.017" "0.035" "0.005" "0.007" "0.044" "0.007" "0.028" "0.034" "0.004" "0.032" "0"
"403" "PTPRQ" "0" "0.012" "0.005" "0" "0.018" "0" "0" "0.029" "0.009" "0" "0" "0" "0" "0"
"404" "HEATR1" "0.004" "0.011" "0.005" "0.024" "0.051" "0.003" "0.005" "0.038" "0.006" "0.013" "0.019" "0.004" "0.014" "0.006"
"405" "PPL" "0.004" "0.011" "0.004" "0.017" "0.048" "0.005" "0.005" "0.036" "0.006" "0.009" "0.015" "0.002" "0.006" "0.006"
"406" "KIF16B" "0.007" "0.015" "0.005" "0.017" "0.048" "0.01" "0.002" "0.029" "0.007" "0.008" "0.021" "0.004" "0.014" "0"
"407" "CHD9" "0.011" "0.015" "0.009" "0.019" "0.049" "0.017" "0.003" "0.031" "0.013" "0.009" "0.023" "0.004" "0.018" "0.006"
"408" "MGA" "0.003" "0.018" "0.013" "0.019" "0.073" "0.005" "0.012" "0.053" "0.007" "0.009" "0.038" "0" "0.022" "0.002"
"409" "IGF2R" "0.004" "0.012" "0.012" "0.032" "0.054" "0.005" "0.005" "0.053" "0.011" "0.009" "0.023" "0.002" "0.024" "0.002"
"410" "ZNF99" "0.006" "0.01" "0.005" "0.017" "0.059" "0.01" "0.003" "0.029" "0.006" "0.047" "0.036" "0.002" "0.054" "0"
"411" "MORC4" "0.003" "0.005" "0.003" "0.005" "0.016" "0.002" "0.003" "0.036" "0.004" "0.006" "0.004" "0.004" "0.008" "0"
"412" "CNTN4" "0.005" "0.011" "0.001" "0.021" "0.045" "0.008" "0.003" "0.04" "0" "0.017" "0.033" "0.002" "0.024" "0"
"413" "ADAMTS20" "0.007" "0.013" "0.013" "0.021" "0.051" "0.01" "0.012" "0.04" "0.019" "0.028" "0.056" "0.004" "0.042" "0.004"
"414" "MCF2L2" "0.001" "0.008" "0.006" "0.019" "0.03" "0.002" "0.003" "0.035" "0.006" "0.019" "0.011" "0" "0.028" "0.004"
"415" "MPDZ" "0.003" "0.013" "0.005" "0.014" "0.045" "0.003" "0.008" "0.035" "0.007" "0.013" "0.023" "0.002" "0.014" "0.006"
"416" "TNIK" "0.002" "0.013" "0.004" "0.013" "0.025" "0.003" "0.008" "0.04" "0.006" "0.032" "0.01" "0" "0.026" "0.002"
"417" "MYO9A" "0.004" "0.014" "0.009" "0.027" "0.033" "0.002" "0.002" "0.038" "0.002" "0.015" "0.019" "0.006" "0.012" "0.002"
"418" "GPR179" "0.003" "0.011" "0.012" "0.013" "0.046" "0.005" "0.007" "0.038" "0.013" "0.023" "0.01" "0" "0.006" "0.008"
"419" "DNMBP" "0.004" "0.011" "0.004" "0.017" "0.04" "0.007" "0.008" "0.029" "0" "0.009" "0.006" "0" "0.016" "0"
"420" "CUL7" "0.001" "0.012" "0.006" "0.013" "0.045" "0" "0.005" "0.033" "0.007" "0.011" "0.013" "0.002" "0.004" "0"
"421" "CNTNAP5" "0.008" "0.015" "0.001" "0.024" "0.089" "0.015" "0.019" "0.055" "0" "0.023" "0.063" "0" "0.071" "0"
"422" "IQGAP2" "0.001" "0.009" "0.009" "0.019" "0.027" "0.002" "0.01" "0.033" "0.009" "0.013" "0.027" "0" "0.014" "0"
"423" "NAV3" "0.005" "0.017" "0.013" "0.027" "0.094" "0.007" "0.008" "0.047" "0.015" "0.053" "0.094" "0.004" "0.091" "0.008"
"424" "THSD7A" "0.004" "0.016" "0.005" "0.013" "0.059" "0.005" "0.005" "0.038" "0.002" "0.042" "0.034" "0.002" "0.03" "0"
"425" "ITGAM" "0.007" "0.008" "0.007" "0.014" "0.03" "0.013" "0.002" "0.027" "0.006" "0.009" "0.033" "0" "0.018" "0.004"
"426" "PCDHB5" "0.007" "0.006" "0.003" "0.024" "0.043" "0.012" "0.007" "0.04" "0.002" "0.009" "0.017" "0.002" "0.018" "0.004"
"427" "UNC79" "0.001" "0.016" "0.005" "0" "0.014" "0" "0" "0.036" "0" "0" "0" "0.002" "0" "0.006"
"428" "CACNA2D3" "0.003" "0.01" "0" "0.013" "0.045" "0.003" "0.002" "0.036" "0" "0.004" "0.019" "0.002" "0.006" "0.002"
"429" "GPRASP1" "0.001" "0.01" "0.009" "0.011" "0.032" "0" "0.003" "0.04" "0.007" "0.013" "0.021" "0.002" "0.02" "0.002"
"430" "FAM83B" "0.009" "0.006" "0.007" "0.006" "0.024" "0.01" "0.008" "0.033" "0.013" "0.009" "0.027" "0.008" "0.02" "0.002"
"431" "SMG1" "0.004" "0.022" "0.015" "0.016" "0.049" "0.007" "0.002" "0.053" "0.002" "0.023" "0.027" "0" "0.026" "0.004"
"432" "SRRM2" "0.006" "0.016" "0.018" "0.022" "0.061" "0.007" "0.01" "0.046" "0.011" "0.015" "0.023" "0.006" "0.028" "0.004"
"433" "PHLDB2" "0.006" "0.01" "0" "0.014" "0.038" "0.008" "0.007" "0.029" "0" "0.011" "0.01" "0.004" "0.022" "0.006"
"434" "SNRNP200" "0.005" "0.015" "0.004" "0.022" "0.04" "0.003" "0.014" "0.033" "0.006" "0.011" "0.023" "0.006" "0.018" "0"
"435" "KIRREL" "0.001" "0.009" "0.004" "0.006" "0.033" "0.002" "0.002" "0.035" "0.006" "0.008" "0.017" "0" "0.006" "0"
"436" "SCAPER" "0.001" "0.008" "0.007" "0.006" "0.025" "0.002" "0.003" "0.024" "0.006" "0.002" "0.002" "0" "0.012" "0"
"437" "PCDHA8" "0.005" "0.011" "0.013" "0.013" "0.056" "0.01" "0.002" "0.033" "0.002" "0.011" "0.021" "0" "0.018" "0"
"438" "EPHB1" "0.004" "0.013" "0.004" "0.017" "0.054" "0.007" "0.008" "0.04" "0.002" "0.019" "0.036" "0" "0.04" "0.006"
"439" "LRRK1" "0.011" "0.014" "0.013" "0.019" "0.051" "0.015" "0.005" "0.04" "0.017" "0.006" "0.015" "0.006" "0.018" "0"
"440" "CELSR2" "0.004" "0.014" "0.014" "0.019" "0.078" "0.003" "0.007" "0.036" "0.009" "0.042" "0.011" "0.004" "0.024" "0"
"441" "CLASP1" "0.003" "0.009" "0.006" "0.014" "0.027" "0.003" "0.002" "0.038" "0.006" "0.004" "0.011" "0.002" "0.012" "0.002"
"442" "SLC9A10" "0.005" "0" "0.001" "0.011" "0.01" "0.008" "0.007" "0.035" "0.002" "0.009" "0.011" "0" "0.018" "0"
"443" "REV3L" "0.002" "0.013" "0.006" "0.029" "0.076" "0.002" "0.002" "0.04" "0.004" "0.019" "0.017" "0.002" "0.012" "0.002"
"444" "FILIP1" "0.006" "0.008" "0.002" "0.022" "0.043" "0.008" "0" "0.036" "0.002" "0.009" "0.01" "0.004" "0.016" "0.002"
"445" "TRPA1" "0.007" "0.008" "0.004" "0.024" "0.067" "0.008" "0.008" "0.036" "0.002" "0.013" "0.048" "0.006" "0.036" "0.002"
"446" "A2M" "0.005" "0.008" "0.007" "0.019" "0.048" "0.007" "0.002" "0.029" "0.006" "0.013" "0.021" "0.004" "0.03" "0.002"
"447" "TNRC6A" "0.005" "0.013" "0.01" "0.013" "0.048" "0.002" "0.007" "0.047" "0.006" "0.023" "0.025" "0.01" "0.012" "0"
"448" "COL19A1" "0.007" "0.014" "0.009" "0.013" "0.027" "0.01" "0.003" "0.04" "0.007" "0.015" "0.04" "0.004" "0.042" "0.002"
"449" "MSH6" "0.003" "0.009" "0.007" "0.022" "0.045" "0.005" "0.003" "0.031" "0.006" "0.002" "0.006" "0" "0.01" "0"
"450" "CDK5RAP2" "0.005" "0.014" "0.007" "0.013" "0.048" "0.003" "0.003" "0.029" "0.011" "0.015" "0.011" "0.006" "0.01" "0"
"451" "SAMD9L" "0.007" "0.008" "0.005" "0.024" "0.061" "0.013" "0.008" "0.04" "0.004" "0.015" "0.034" "0" "0.016" "0.002"
"452" "CACNA1G" "0.005" "0.015" "0.012" "0.016" "0.046" "0.003" "0.005" "0.042" "0.015" "0.023" "0.023" "0.006" "0.02" "0.01"
"453" "ADAM7" "0.005" "0.004" "0.002" "0.019" "0.035" "0.007" "0" "0.033" "0" "0.011" "0.013" "0.004" "0.016" "0"
"454" "MAGEC1" "0.006" "0.008" "0.021" "0.022" "0.057" "0.008" "0.002" "0.042" "0.026" "0.036" "0.052" "0.004" "0.04" "0.002"
"455" "ERBB4" "0.001" "0.015" "0.01" "0.037" "0.099" "0" "0" "0.035" "0.009" "0.034" "0.044" "0.002" "0.03" "0.004"
"456" "TPTE" "0.014" "0.01" "0.002" "0.019" "0.061" "0.013" "0.003" "0.031" "0.004" "0.03" "0.063" "0.014" "0.052" "0"
"457" "LRP6" "0.004" "0.008" "0.01" "0.025" "0.024" "0.003" "0.003" "0.038" "0.004" "0.023" "0.013" "0.004" "0.016" "0"
"458" "CACNA1F" "0.004" "0.021" "0.004" "0.021" "0.029" "0.003" "0.007" "0.053" "0.006" "0.011" "0.025" "0.004" "0.02" "0"
"459" "ARHGAP31" "0.001" "0.012" "0.007" "0.013" "0.043" "0" "0.007" "0.042" "0.011" "0.011" "0.01" "0.002" "0.02" "0"
"460" "AKAP11" "0.001" "0.008" "0.003" "0.014" "0.038" "0.002" "0.002" "0.035" "0.004" "0.011" "0.013" "0" "0.014" "0.002"
"461" "MYO15A" "0.012" "0.01" "0.014" "0.019" "0.086" "0.012" "0.003" "0.049" "0.007" "0.034" "0.023" "0.012" "0.022" "0.01"
"462" "CNOT1" "0.005" "0.015" "0.017" "0.021" "0.053" "0.005" "0.007" "0.04" "0.019" "0.025" "0.023" "0.006" "0.014" "0.002"
"463" "PCDH11X" "0.012" "0.016" "0.007" "0.027" "0.065" "0.018" "0" "0.035" "0.004" "0.042" "0.063" "0.004" "0.065" "0.004"
"464" "NYNRIN" "0.005" "0.013" "0.012" "0.01" "0.029" "0.005" "0.003" "0.036" "0.013" "0.021" "0.019" "0.004" "0.014" "0.004"
"465" "CCDC73" "0" "0.004" "0.01" "0.01" "0.024" "0" "0.003" "0.024" "0.009" "0.008" "0.019" "0" "0.012" "0"
"466" "DOCK11" "0.005" "0.022" "0.006" "0.019" "0.041" "0.005" "0.007" "0.038" "0.006" "0.023" "0.021" "0.004" "0.024" "0.004"
"467" "POLA1" "0.005" "0.014" "0.004" "0.011" "0.013" "0.003" "0.005" "0.036" "0.002" "0.006" "0.011" "0.006" "0.02" "0"
"468" "PTPRK" "0.003" "0.005" "0.002" "0.019" "0.045" "0.005" "0.005" "0.036" "0.004" "0.009" "0.015" "0" "0.014" "0.002"
"469" "MXRA5" "0.016" "0.03" "0.004" "0.033" "0.067" "0.022" "0.012" "0.04" "0.006" "0.025" "0.08" "0.01" "0.032" "0.002"
"470" "KCNT2" "0.004" "0.013" "0.004" "0.025" "0.059" "0.003" "0.007" "0.031" "0.004" "0.03" "0.038" "0.004" "0.03" "0.002"
"471" "ROS1" "0.006" "0.013" "0.013" "0.025" "0.048" "0.007" "0.012" "0.035" "0.015" "0.03" "0.019" "0.006" "0.048" "0.004"
"472" "ZEB2" "0.002" "0.007" "0.006" "0.025" "0.059" "0" "0.008" "0.038" "0.007" "0.017" "0.038" "0.004" "0.034" "0"
"473" "OTOF" "0.006" "0.016" "0.01" "0.024" "0.065" "0.003" "0.01" "0.046" "0.011" "0.015" "0.025" "0.01" "0.028" "0"
"474" "ZNF709" "0.002" "0.001" "0.005" "0.006" "0.018" "0.003" "0" "0.024" "0.002" "0.006" "0.006" "0" "0.006" "0.004"
"475" "PRPF8" "0.004" "0.014" "0.01" "0.019" "0.041" "0.003" "0.003" "0.046" "0.011" "0.009" "0.008" "0.004" "0.014" "0.004"
"476" "IGSF10" "0.003" "0.02" "0.013" "0.025" "0.084" "0.002" "0.012" "0.038" "0.011" "0.023" "0.023" "0.004" "0.016" "0.002"
"477" "ANO2" "0.011" "0.008" "0.002" "0.01" "0.032" "0.013" "0.007" "0.027" "0.004" "0.008" "0.019" "0.008" "0.02" "0.002"
"478" "NRXN1" "0.006" "0.015" "0.011" "0.043" "0.113" "0.01" "0.014" "0.044" "0.011" "0.04" "0.063" "0.002" "0.058" "0.01"
"479" "SLITRK4" "0.005" "0.006" "0.003" "0.016" "0.022" "0.007" "0.003" "0.033" "0.004" "0.023" "0.033" "0.004" "0.018" "0"
"480" "BRDT" "0.003" "0.005" "0.004" "0.013" "0.022" "0.005" "0.002" "0.026" "0.007" "0.004" "0.013" "0" "0.012" "0.002"
"481" "MON2" "0.002" "0.006" "0.009" "0.019" "0.037" "0.002" "0.002" "0.036" "0.004" "0.008" "0.01" "0.002" "0.016" "0.002"
"482" "ABCA1" "0.002" "0.01" "0.011" "0.029" "0.043" "0.002" "0.008" "0.036" "0.011" "0.015" "0.021" "0.002" "0.03" "0.002"
"483" "DSCAML1" "0.004" "0.014" "0.015" "0.025" "0.083" "0.005" "0.012" "0.042" "0.015" "0.017" "0.04" "0.002" "0.038" "0.002"
"484" "TDRD6" "0.004" "0.01" "0.011" "0.016" "0.061" "0.007" "0.003" "0.044" "0.013" "0.019" "0.015" "0" "0.02" "0.004"
"485" "ARHGAP20" "0.001" "0.005" "0.005" "0.019" "0.029" "0.002" "0.007" "0.036" "0.006" "0.008" "0.008" "0" "0.008" "0"
"486" "PCDHGA12" "0.003" "0.007" "0.004" "0.011" "0.046" "0.005" "0.003" "0.033" "0.002" "0.017" "0.011" "0" "0.012" "0"
"487" "CPS1" "0.007" "0.012" "0.006" "0.017" "0.056" "0.008" "0.014" "0.024" "0.009" "0.025" "0.063" "0.006" "0.052" "0.002"
"488" "ARFGEF1" "0.002" "0.013" "0.007" "0.017" "0.048" "0.003" "0.007" "0.035" "0.009" "0.017" "0.019" "0" "0.014" "0"
"489" "SPTB" "0.005" "0.016" "0.006" "0.032" "0.045" "0.005" "0.015" "0.044" "0.007" "0.019" "0.025" "0.004" "0.028" "0.002"
"490" "DEPDC5" "0.005" "0.015" "0.004" "0.011" "0.049" "0.008" "0.008" "0.031" "0.004" "0.011" "0.011" "0.002" "0.022" "0.002"
"491" "LRP1" "0.011" "0.03" "0.016" "0.033" "0.081" "0.017" "0.014" "0.064" "0.02" "0.038" "0.038" "0.004" "0.036" "0.012"
"492" "ALG13" "0.002" "0.006" "0.005" "0.002" "0.027" "0.002" "0" "0.038" "0.007" "0.008" "0.013" "0.002" "0.016" "0.008"
"493" "HRNR" "0.02" "0.04" "0.014" "0.03" "0.091" "0.029" "0.01" "0.046" "0.007" "0.045" "0.075" "0.01" "0.046" "0.004"
"494" "PDZD2" "0.004" "0.019" "0.016" "0.035" "0.092" "0.003" "0.008" "0.044" "0.019" "0.027" "0.021" "0.004" "0.036" "0.004"
"495" "SORL1" "0.004" "0.009" "0.007" "0.017" "0.048" "0.003" "0.012" "0.04" "0.007" "0.021" "0.025" "0.004" "0.016" "0.002"
"496" "RASA1" "0.002" "0.002" "0.009" "0.011" "0.04" "0.002" "0.002" "0.044" "0.007" "0.025" "0.01" "0.002" "0.016" "0.002"
"497" "COL6A5" "0" "0.028" "0.011" "0.01" "0.037" "0" "0.003" "0.035" "0.007" "0" "0" "0" "0" "0"
"498" "TET2" "0.004" "0.01" "0.011" "0.013" "0.033" "0.003" "0.003" "0.031" "0.015" "0.008" "0.008" "0.004" "0.01" "0"
"499" "ANKRD36" "0.005" "0.009" "0.013" "0" "0.016" "0.008" "0.003" "0.027" "0.022" "0.021" "0.006" "0" "0.002" "0.002"
"500" "ABCA5" "0.003" "0.008" "0.007" "0.016" "0.041" "0.005" "0.005" "0.029" "0.007" "0.008" "0.013" "0" "0.01" "0.006"
"501" "PLEKHH2" "0" "0.012" "0.007" "0.014" "0.029" "0" "0" "0.027" "0.011" "0.013" "0.004" "0" "0.022" "0"
"502" "NFASC" "0.002" "0.012" "0.009" "0.03" "0.051" "0.002" "0.005" "0.057" "0.009" "0.008" "0.029" "0.002" "0.016" "0"
"503" "PAPPA" "0.005" "0.015" "0.005" "0.032" "0.062" "0.005" "0.007" "0.036" "0.002" "0.021" "0.029" "0.006" "0.02" "0"
"504" "FREM3" "0" "0.015" "0.001" "0" "0.019" "0" "0" "0.033" "0.002" "0" "0" "0" "0" "0"
"505" "PIK3CG" "0.013" "0.008" "0.004" "0.022" "0.038" "0.022" "0.007" "0.036" "0.006" "0.023" "0.029" "0.002" "0.04" "0.004"
"506" "BSN" "0.005" "0.013" "0.009" "0.027" "0.068" "0.007" "0.01" "0.046" "0.006" "0.027" "0.017" "0.004" "0.026" "0.004"
"507" "TRPC4" "0.004" "0.007" "0.005" "0.03" "0.041" "0.005" "0.007" "0.027" "0.007" "0.013" "0.044" "0.002" "0.014" "0.002"
"508" "DGKI" "0.002" "0.009" "0" "0.017" "0.053" "0.003" "0.003" "0.029" "0" "0.015" "0.034" "0" "0.026" "0"
"509" "DUSP27" "0.005" "0.01" "0.007" "0.016" "0.03" "0.007" "0.007" "0.027" "0.007" "0.015" "0.038" "0.004" "0.034" "0.002"
"510" "PCDHA7" "0.005" "0.008" "0.001" "0.01" "0.061" "0.008" "0.003" "0.04" "0.002" "0.028" "0.027" "0.002" "0.022" "0"
"511" "WDR96" "0.002" "0.008" "0.002" "0" "0.003" "0" "0" "0.036" "0" "0" "0" "0.004" "0" "0"
"512" "CEP170" "0.002" "0.012" "0.005" "0.014" "0.03" "0.003" "0.002" "0.029" "0.007" "0.019" "0.008" "0" "0.014" "0"
"513" "WDR17" "0.001" "0.013" "0.005" "0.019" "0.053" "0" "0.003" "0.027" "0.004" "0.021" "0.015" "0.002" "0.038" "0.002"
"514" "MCF2" "0.005" "0.005" "0.004" "0.019" "0.025" "0.003" "0" "0.036" "0.002" "0.013" "0.025" "0.006" "0.026" "0.002"
"515" "YLPM1" "0.001" "0.015" "0.016" "0.016" "0.051" "0.002" "0.007" "0.036" "0.017" "0.011" "0.019" "0" "0.022" "0.006"
"516" "PPP2R1A" "0" "0.004" "0.003" "0.011" "0.029" "0" "0.007" "0.051" "0.004" "0.009" "0.01" "0" "0.02" "0.004"
"517" "DMXL1" "0.003" "0.018" "0.014" "0.022" "0.059" "0.002" "0.005" "0.047" "0.009" "0.013" "0.025" "0.004" "0.018" "0.006"
"518" "NOS1" "0.013" "0.013" "0.013" "0.017" "0.061" "0.015" "0.005" "0.042" "0.02" "0.006" "0.029" "0.01" "0.03" "0.002"
"519" "KIF14" "0" "0.01" "0.006" "0.013" "0.032" "0" "0.003" "0.035" "0.011" "0.017" "0.017" "0" "0.012" "0.002"
"520" "ZC3H12B" "0.005" "0.011" "0" "0.006" "0.019" "0.007" "0" "0.026" "0" "0.004" "0.015" "0.004" "0.008" "0"
"521" "STAG2" "0.013" "0.012" "0.016" "0.013" "0.027" "0.02" "0.007" "0.046" "0.013" "0.011" "0.019" "0.004" "0.014" "0.002"
"522" "ENPP2" "0.007" "0.009" "0.005" "0.017" "0.018" "0.01" "0.005" "0.029" "0.004" "0.013" "0.015" "0.004" "0.02" "0.008"
"523" "TRPS1" "0.004" "0.007" "0.002" "0.033" "0.091" "0.007" "0.005" "0.029" "0" "0.015" "0.057" "0" "0.024" "0.002"
