"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"115" "TMEM132D" "0.013" "0.017" "0.004" "0.041" "0.073" "0.02" "0.017" "0.036" "0.006" "0.038" "0.04" "0.004" "0.046" "0.004"
"116" "WDFY3" "0.008" "0.02" "0.018" "0.035" "0.078" "0.007" "0.005" "0.049" "0.02" "0.019" "0.046" "0.01" "0.026" "0.004"
"117" "EPHA3" "0.007" "0.007" "0.005" "0.033" "0.056" "0.007" "0.008" "0.029" "0.004" "0.028" "0.046" "0.008" "0.034" "0"
"118" "RANBP2" "0.003" "0.011" "0.018" "0.019" "0.067" "0.002" "0" "0.04" "0.015" "0.013" "0.029" "0.004" "0.03" "0.004"
"119" "TEP1" "0.006" "0.015" "0.012" "0.014" "0.056" "0.008" "0.012" "0.035" "0.006" "0.021" "0.033" "0.004" "0.018" "0.004"
"120" "MLL2" "0.005" "0.026" "0.041" "0.027" "0.107" "0.01" "0.003" "0.069" "0.035" "0.093" "0.046" "0" "0.081" "0.004"
"121" "KCNQ3" "0.001" "0.01" "0.003" "0.027" "0.046" "0" "0.003" "0.035" "0.004" "0.017" "0.01" "0.002" "0.022" "0"
"122" "VWF" "0.009" "0.015" "0.014" "0.03" "0.076" "0.015" "0.012" "0.038" "0.015" "0.013" "0.033" "0.002" "0.036" "0.004"
"123" "CHD3" "0.001" "0.015" "0.011" "0.016" "0.056" "0.002" "0.002" "0.057" "0.009" "0.021" "0.01" "0" "0.01" "0.006"
"124" "ASXL1" "0.003" "0.013" "0.006" "0.019" "0.048" "0.005" "0.002" "0.029" "0.007" "0.019" "0.01" "0" "0.024" "0.004"
"125" "ZFAT" "0.005" "0.005" "0.007" "0.013" "0.043" "0.007" "0" "0.038" "0.009" "0.015" "0.015" "0.004" "0.02" "0.002"
"126" "MBD6" "0.002" "0.007" "0.006" "0.013" "0.041" "0.002" "0.002" "0.029" "0.006" "0.013" "0.002" "0.002" "0.004" "0.004"
