"markers","BRCA","COAD","COADREAD","GBMLGG","KIPAN","KIRC","KIRP","LGG","LUAD","LUSC","OV","READ","UCEC"
"SKP1A",0.000206025358843065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC24A6",4.86539925604879e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC35F2",5.33412329395411e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC39A14",0.00037907762891265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMCR5",0.000237993013778914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST8SIA2",0.000366511070917563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TATDN1",0.000190371776912945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAF3",0.000202564809803851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRIM33",3.37334680436951e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRIM44",0.000215461099932979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZFYVE20",0.000177209080969076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF136",0.00016125206161155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF672",0.000359595878124286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF773",0.000401123181727026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD8",NA,0.00111671077569953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACAN",NA,0.00160657633305838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACVR2A",NA,0.00152944405762101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTSL4",NA,0.00174603411981455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGK",NA,0.00065914192207206,8.18589413805748e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGMAT",NA,0.001463723324996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHCYL1",NA,0.00179960779464017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANKRD26",NA,0.000378021393737438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APOL2",NA,0.000111152561220629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APOL3",NA,0.000429411869420693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMC2",NA,0.000111344170792393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASB9",NA,0.000588396729362839,3.1428708169412e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUD31",NA,0.000592399432699953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C16orf78",NA,0.000949732747784648,0.00150424959923368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C17orf60",NA,0.000760157236224912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1orf157",NA,5.21930591725894e-05,0.00271357719143672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1QTNF4",NA,0.000645351817882056,0.00133861221649101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C6orf57",NA,6.66969516806004e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7orf27",NA,8.69641454548375e-05,0.00206018743571845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7orf47",NA,0.00214618148648815,0.000414424623563225,NA,0.00193995460838581,NA,NA,NA,NA,NA,NA,NA,NA
"C9orf131",NA,0.00121455376224455,0.000102770276047437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAPN3",NA,0.00127994964930833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCDC24",NA,0.000794312986934775,NA,NA,NA,0.00356322117635166,NA,NA,NA,NA,NA,NA,NA
"CIDEA",NA,0.000142566998354243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIITA",NA,0.00206678076071731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COL9A1",NA,0.000889935968434896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRCT1",NA,0.00108391021560861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRYBB3",NA,0.00157768272264547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
