"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"220" "CCNB3" "4" "15" "4" "7" "23" "2" "4" "20" "4" "9" "14" "2" "15" "0"
"221" "WDFY4" "0" "18" "7" "0" "19" "0" "0" "26" "4" "0" "0" "0" "0" "0"
"222" "DMBT1" "8" "11" "10" "10" "30" "6" "3" "17" "4" "12" "22" "2" "14" "1"
"223" "EYS" "1" "23" "9" "10" "49" "1" "1" "29" "8" "0" "23" "0" "13" "0"
"224" "PEG3" "8" "20" "13" "16" "50" "6" "8" "18" "9" "24" "31" "2" "29" "2"
"225" "MED13L" "2" "13" "5" "16" "30" "1" "3" "28" "3" "8" "14" "1" "9" "1"
"226" "HIVEP1" "5" "14" "7" "7" "37" "4" "4" "27" "5" "7" "12" "1" "15" "1"
"227" "CDH10" "1" "8" "2" "19" "44" "0" "6" "24" "1" "25" "38" "1" "35" "1"
"228" "DOPEY2" "0" "9" "7" "6" "32" "0" "2" "22" "5" "6" "9" "0" "8" "0"
"229" "MYOM2" "7" "15" "8" "15" "37" "3" "5" "21" "4" "8" "16" "4" "12" "3"
"230" "ABCB1" "14" "19" "4" "11" "33" "10" "4" "26" "4" "13" "18" "4" "14" "0"
"231" "DOCK10" "3" "16" "12" "10" "33" "3" "3" "24" "9" "10" "13" "0" "16" "1"
"232" "MLL" "4" "22" "8" "16" "38" "4" "5" "20" "7" "14" "10" "0" "10" "7"
"233" "ALMS1" "9" "20" "14" "14" "46" "4" "6" "26" "10" "15" "25" "5" "25" "2"
"234" "MYO10" "6" "16" "10" "11" "27" "4" "2" "22" "6" "11" "6" "2" "8" "2"
"235" "PIKFYVE" "5" "14" "5" "16" "24" "3" "7" "26" "3" "8" "12" "2" "14" "0"
"236" "HEATR7B2" "14" "23" "6" "8" "18" "14" "6" "23" "5" "19" "22" "0" "32" "1"
"237" "FRAS1" "26" "23" "8" "14" "37" "20" "5" "22" "5" "13" "23" "6" "12" "1"
"238" "CNTNAP2" "19" "19" "7" "17" "56" "16" "8" "25" "5" "19" "32" "3" "34" "0"
"239" "LAMA1" "19" "23" "14" "30" "73" "17" "7" "25" "10" "19" "26" "2" "20" "0"
"240" "ATP10A" "8" "16" "8" "28" "43" "5" "2" "24" "1" "17" "5" "3" "23" "1"
"241" "SYTL2" "3" "8" "7" "10" "22" "1" "3" "15" "5" "4" "3" "2" "10" "1"
"242" "GPR158" "1" "7" "5" "12" "40" "1" "4" "23" "3" "12" "29" "0" "19" "1"
"243" "LAMB4" "11" "15" "6" "14" "27" "8" "4" "17" "3" "11" "20" "3" "7" "1"
"244" "AKAP6" "5" "16" "6" "15" "37" "3" "5" "25" "5" "12" "24" "2" "16" "1"
"245" "BDP1" "2" "16" "12" "5" "33" "2" "0" "20" "6" "5" "11" "0" "13" "5"
"246" "PRKDC" "6" "23" "10" "18" "57" "4" "9" "28" "6" "18" "19" "2" "14" "5"
"247" "DOCK2" "8" "12" "11" "27" "53" "7" "6" "22" "6" "17" "27" "1" "23" "2"
"248" "MAP3K5" "2" "13" "7" "7" "16" "1" "2" "19" "6" "8" "5" "1" "7" "0"
"249" "CDH8" "6" "14" "12" "18" "33" "4" "6" "22" "8" "11" "17" "2" "21" "5"
"250" "DENND4C" "4" "9" "4" "7" "18" "3" "1" "20" "2" "3" "6" "1" "5" "1"
"251" "FNDC1" "6" "16" "5" "17" "27" "5" "3" "25" "3" "9" "8" "1" "10" "0"
"252" "CNTNAP4" "3" "8" "9" "14" "25" "3" "5" "20" "7" "9" "15" "0" "16" "1"
"253" "MAP3K1" "10" "72" "8" "7" "21" "8" "1" "22" "4" "5" "4" "2" "5" "2"
"254" "ASCC3" "5" "9" "8" "16" "31" "5" "5" "21" "6" "4" "12" "0" "12" "1"
"255" "ATP8A2" "6" "6" "8" "11" "23" "4" "5" "20" "6" "11" "15" "2" "13" "0"
"256" "TRRAP" "14" "16" "9" "20" "60" "10" "8" "35" "4" "13" "23" "4" "15" "2"
"257" "RNF213" "4" "34" "11" "18" "60" "2" "10" "32" "4" "22" "12" "2" "12" "2"
"258" "MYH7" "2" "20" "10" "14" "39" "2" "4" "29" "4" "13" "28" "0" "18" "1"
"259" "KIAA2026" "3" "13" "5" "10" "22" "3" "3" "21" "2" "9" "11" "0" "8" "0"
"260" "DNAH17" "8" "31" "15" "0" "29" "6" "8" "29" "9" "8" "6" "2" "6" "2"
"261" "BOD1L" "5" "0" "5" "17" "26" "5" "5" "21" "5" "9" "22" "0" "13" "0"
